"blockgroup","taz2","taz2_share"
60014001001,300125,0.649923896499239
60014001001,301054,0.350076103500761
60014002001,300114,0.485776805251641
60014002001,301088,0.514223194748359
60014002002,300569,1
60014003001,300113,1
60014003002,300115,0.302147239263804
60014003002,301090,0.420245398773006
60014003002,301091,0.27760736196319
60014003003,300115,1
60014003004,300115,0.132352941176471
60014003004,301089,0.282352941176471
60014003004,301090,0.585294117647059
60014004001,300568,1
60014004002,300466,1
60014004003,300123,1
60014005001,300118,1
60014005002,300093,1
60014005003,300094,1
60014006001,300288,1
60014006002,300018,1
60014007001,300282,1
60014007002,300241,0.615230460921844
60014007002,301084,0.158316633266533
60014007002,301085,0.226452905811623
60014007003,300166,0.738317757009346
60014007003,301086,0.261682242990654
60014007004,300167,0.773542600896861
60014007004,301087,0.226457399103139
60014008001,300339,1
60014008002,300766,1
60014008003,300234,1
60014009001,300126,1
60014009002,300825,1
60014010001,300715,1
60014010002,300716,1
60014010003,300127,1
60014010004,300022,1
60014010005,300016,1
60014010006,300023,1
60014011001,300377,1
60014011002,300376,1
60014011003,300177,1
60014011004,300170,1
60014012001,300120,1
60014012002,300173,1
60014012003,300175,1
60014013001,300111,1
60014013002,300112,1
60014013003,300419,1
60014014001,300174,1
60014014002,300128,1
60014014003,300235,1
60014015001,300116,1
60014015002,300480,1
60014015003,300481,1
60014016001,300289,1
60014016002,300287,1
60014017001,300150,0.0426966292134831
60014017001,300240,0.957303370786517
60014017002,300051,1
60014017003,0,0
60014017003,300049,1
60014018001,300231,1
60014018002,300232,1
60014022001,300441,1
60014022002,300442,1
60014022003,300092,1
60014024001,300284,1
60014024002,300670,1
60014025001,300845,1
60014025002,300025,1
60014026001,300331,1
60014027001,300027,1
60014027002,300958,1
60014028001,300239,1
60014028002,300691,1
60014029001,300899,0.0760043431053203
60014029001,301059,0.92399565689468
60014030001,300028,1
60014030002,300378,1
60014031001,300477,0.372325249643367
60014031001,301058,0.627674750356633
60014033001,0,0
60014033001,300855,1
60014033002,300473,1
60014034001,0,0
60014034001,300332,1
60014034002,300024,0.856978085351788
60014034002,301092,0.143021914648212
60014034003,300024,1
60014034004,300024,1
60014035011,300693,1
60014035012,300738,1
60014035013,300739,1
60014035021,300740,1
60014035022,300741,1
60014036001,300771,1
60014036002,300742,1
60014036003,300742,1
60014037011,300743,1
60014037012,300744,1
60014037021,300745,1
60014037022,300746,1
60014038001,300344,1
60014038002,300852,1
60014038003,300619,1
60014038004,300256,1
60014039001,300380,1
60014039002,300956,1
60014039003,300618,1
60014040001,300617,1
60014040002,300176,1
60014041011,300095,1
60014041012,300088,1
60014041021,300747,1
60014041022,300748,1
60014042001,300960,1
60014042002,300959,1
60014042003,300943,0.531568228105906
60014042003,301050,0.346232179226069
60014042003,301051,0.122199592668024
60014043001,300445,0.812227074235808
60014043001,300484,0.187772925764192
60014043002,300484,1
60014043003,300574,1
60014044001,300124,1
60014044002,300578,1
60014044003,300576,1
60014045011,300301,1
60014045021,300662,1
60014045022,300026,1
60014045023,301015,1
60014045024,300171,1
60014046001,300172,1
60014046002,300172,1
60014046003,300767,1
60014046004,300021,1
60014047001,300970,1
60014047002,300970,1
60014048001,301017,1
60014048002,300704,1
60014049001,300973,1
60014049002,300961,1
60014049003,301005,1
60014049004,301006,1
60014050001,300443,1
60014050002,300443,0.0244821092278719
60014050002,300573,0.975517890772128
60014050003,300768,1
60014051001,300168,1
60014051002,300969,1
60014051003,300941,1
60014051004,300375,1
60014051005,300625,1
60014052001,300620,1
60014052002,300887,1
60014052003,300888,1
60014052004,300939,1
60014053011,300096,1
60014053012,300789,1
60014053021,300097,1
60014053022,300089,1
60014054011,300098,1
60014054012,300099,1
60014054013,300100,1
60014054021,300090,1
60014054022,300155,1
60014055001,301000,1
60014055002,300621,1
60014055003,300622,1
60014055004,300561,1
60014056001,300989,1
60014056002,301002,1
60014056003,300485,1
60014057001,300999,1
60014057002,301004,1
60014057003,301003,1
60014058001,300657,1
60014058002,300624,1
60014058003,300770,1
60014058004,300772,1
60014059011,300156,1
60014059012,300146,1
60014059013,300157,1
60014059021,300790,1
60014059022,300147,1
60014060001,0,0
60014060001,301048,1
60014060002,300061,1
60014060003,300061,1
60014061001,301016,1
60014061002,0,0
60014061002,301001,1
60014061003,0,0
60014061003,300575,0.364224137931034
60014061003,301096,0.635775862068966
60014061004,300374,1
60014062011,301008,1
60014062012,300957,1
60014062013,301018,1
60014062014,301019,1
60014062021,301023,1
60014062022,300066,1
60014062023,300791,1
60014063001,301031,1
60014063002,301030,1
60014063003,300792,1
60014063004,301033,1
60014064001,300656,1
60014064002,0,0
60014064002,301007,1
60014065001,300158,1
60014065002,301034,1
60014065003,300793,1
60014065004,300159,1
60014066011,300160,1
60014066012,300161,1
60014066013,300162,1
60014066014,300163,1
60014066021,300164,1
60014066022,300165,1
60014067001,300706,1
60014067002,300711,1
60014067003,300761,1
60014067004,300707,1
60014067005,300759,1
60014068001,300009,1
60014068002,300798,1
60014068003,300800,1
60014068004,300710,1
60014069001,300801,1
60014069002,300011,1
60014069003,300758,1
60014070001,300660,1
60014070002,301032,1
60014070003,301035,1
60014070004,301037,1
60014070005,301038,1
60014071011,300221,1
60014071012,300222,1
60014071021,300223,1
60014071022,300224,1
60014071023,300225,1
60014071024,300226,1
60014072001,300819,1
60014072002,301040,1
60014072003,300238,1
60014072004,300237,1
60014073001,300751,1
60014073002,0,0
60014073002,300816,1
60014074001,300190,1
60014074002,300813,1
60014074003,300820,1
60014075001,300418,1
60014075002,300835,1
60014075003,300194,1
60014076001,300762,1
60014076002,300191,1
60014076003,301036,1
60014076004,300817,1
60014076005,300136,1
60014077001,300133,1
60014077002,300131,1
60014077003,300193,1
60014077004,300814,1
60014078001,300010,0.5
60014078001,300661,0.5
60014078002,300010,1
60014078003,300805,1
60014079001,300803,0.845659163987138
60014079001,301095,0.154340836012862
60014079002,300799,1
60014079003,300802,1
60014080001,300708,1
60014080002,300440,1
60014081001,300794,1
60014081002,300839,1
60014081003,300227,1
60014081004,300795,1
60014082001,300836,1
60014082002,300249,1
60014082003,300069,1
60014083001,300757,1
60014083002,300014,1
60014083003,300760,1
60014083004,300355,1
60014083005,300312,1
60014084001,300857,1
60014084002,300254,1
60014084003,300253,1
60014085001,300354,1
60014085002,300858,1
60014085003,300853,1
60014085004,300851,1
60014085005,300252,1
60014086001,300841,1
60014086002,300856,1
60014086003,300754,1
60014086004,300196,1
60014087001,300134,1
60014087002,300868,1
60014087003,300192,1
60014087004,300250,1
60014087005,300821,1
60014087006,300867,1
60014088001,300195,1
