"tripmode","tourmode","purpose","value","grp_var"
"1","Auto SOV","work",3476583,"worktourmode1"
"2","Auto SOV","work",0,"worktourmode1"
"3","Auto SOV","work",0,"worktourmode1"
"4","Auto SOV","work",0,"worktourmode1"
"5","Auto SOV","work",0,"worktourmode1"
"6","Auto SOV","work",0,"worktourmode1"
"7","Auto SOV","work",0,"worktourmode1"
"8","Auto SOV","work",0,"worktourmode1"
"9","Auto SOV","work",0,"worktourmode1"
"1","Auto 2 Person","work",297882,"worktourmode2"
"2","Auto 2 Person","work",661164,"worktourmode2"
"3","Auto 2 Person","work",0,"worktourmode2"
"4","Auto 2 Person","work",13423,"worktourmode2"
"5","Auto 2 Person","work",0,"worktourmode2"
"6","Auto 2 Person","work",0,"worktourmode2"
"7","Auto 2 Person","work",0,"worktourmode2"
"8","Auto 2 Person","work",0,"worktourmode2"
"9","Auto 2 Person","work",0,"worktourmode2"
"1","Auto 3+ Person","work",108819,"worktourmode3"
"2","Auto 3+ Person","work",28007,"worktourmode3"
"3","Auto 3+ Person","work",283368,"worktourmode3"
"4","Auto 3+ Person","work",3789,"worktourmode3"
"5","Auto 3+ Person","work",0,"worktourmode3"
"6","Auto 3+ Person","work",0,"worktourmode3"
"7","Auto 3+ Person","work",0,"worktourmode3"
"8","Auto 3+ Person","work",0,"worktourmode3"
"9","Auto 3+ Person","work",0,"worktourmode3"
"1","Walk","work",0,"worktourmode4"
"2","Walk","work",0,"worktourmode4"
"3","Walk","work",0,"worktourmode4"
"4","Walk","work",472016,"worktourmode4"
"5","Walk","work",0,"worktourmode4"
"6","Walk","work",0,"worktourmode4"
"7","Walk","work",0,"worktourmode4"
"8","Walk","work",0,"worktourmode4"
"9","Walk","work",0,"worktourmode4"
"1","Bike/Moped","work",0,"worktourmode5"
"2","Bike/Moped","work",0,"worktourmode5"
"3","Bike/Moped","work",0,"worktourmode5"
"4","Bike/Moped","work",0,"worktourmode5"
"5","Bike/Moped","work",803978,"worktourmode5"
"6","Bike/Moped","work",0,"worktourmode5"
"7","Bike/Moped","work",0,"worktourmode5"
"8","Bike/Moped","work",0,"worktourmode5"
"9","Bike/Moped","work",0,"worktourmode5"
"1","Walk-Transit","work",0,"worktourmode6"
"2","Walk-Transit","work",21855,"worktourmode6"
"3","Walk-Transit","work",662,"worktourmode6"
"4","Walk-Transit","work",78584,"worktourmode6"
"5","Walk-Transit","work",0,"worktourmode6"
"6","Walk-Transit","work",531723,"worktourmode6"
"7","Walk-Transit","work",0,"worktourmode6"
"8","Walk-Transit","work",0,"worktourmode6"
"9","Walk-Transit","work",0,"worktourmode6"
"1","PNR-Transit","work",6626,"worktourmode7"
"2","PNR-Transit","work",3162,"worktourmode7"
"3","PNR-Transit","work",9754,"worktourmode7"
"4","PNR-Transit","work",12966,"worktourmode7"
"5","PNR-Transit","work",0,"worktourmode7"
"6","PNR-Transit","work",2488,"worktourmode7"
"7","PNR-Transit","work",62918,"worktourmode7"
"8","PNR-Transit","work",0,"worktourmode7"
"9","PNR-Transit","work",0,"worktourmode7"
"1","KNR-Transit","work",0,"worktourmode8"
"2","KNR-Transit","work",6314,"worktourmode8"
"3","KNR-Transit","work",5073,"worktourmode8"
"4","KNR-Transit","work",7989,"worktourmode8"
"5","KNR-Transit","work",0,"worktourmode8"
"6","KNR-Transit","work",1326,"worktourmode8"
"7","KNR-Transit","work",0,"worktourmode8"
"8","KNR-Transit","work",24362,"worktourmode8"
"9","KNR-Transit","work",0,"worktourmode8"
"1","School Bus","work",0,"worktourmode9"
"2","School Bus","work",0,"worktourmode9"
"3","School Bus","work",0,"worktourmode9"
