a,mgra,parkarea
1,1,4
2,2,1
3,3,4
4,4,4
5,5,4
6,6,4
7,7,4
8,8,4
9,9,4
10,10,4
11,11,4
12,12,4
13,13,4
14,14,4
15,15,4
16,16,4
17,17,4
18,18,4
19,19,4
20,20,4
21,21,4
22,22,4
23,23,4
24,24,4
25,25,4
26,26,4
27,27,1
28,28,1
29,29,1
30,30,1
31,31,1
32,32,1
33,33,1
34,34,1
35,35,1
36,36,1
37,37,1
38,38,1
39,39,1
40,40,4
41,41,4
42,42,4
43,43,4
44,44,4
45,45,4
46,46,4
47,47,4
48,48,4
49,49,4
50,50,4
51,51,4
52,52,4
53,53,4
54,54,4
55,55,4
56,56,4
57,57,4
58,58,4
59,59,4
60,60,4
61,61,4
62,62,4
63,63,4
64,64,4
65,65,4
66,66,4
67,67,4
68,68,4
69,69,4
70,70,4
71,71,4
72,72,4
73,73,4
74,74,4
75,75,4
76,76,4
77,77,4
78,78,4
79,79,4
80,80,1
81,81,4
82,82,4
83,83,4
84,84,4
85,85,4
86,86,4
87,87,4
88,88,4
89,89,4
90,90,4
91,91,4
92,92,4
93,93,4
94,94,4
95,95,4
96,96,4
97,97,4
98,98,4
99,99,4
100,100,4
101,101,4
102,102,4
103,103,4
104,104,4
105,105,4
106,106,4
107,107,4
108,108,4
109,109,4
110,110,4
111,111,4
112,112,4
113,113,4
114,114,4
115,115,4
116,116,4
117,117,4
118,118,4
119,119,4
120,120,4
121,121,4
122,122,4
123,123,4
124,124,4
125,125,4
126,126,4
127,127,4
128,128,4
129,129,4
130,130,4
131,131,4
132,132,4
133,133,4
134,134,4
135,135,4
136,136,4
137,137,4
138,138,4
139,139,4
140,140,4
141,141,4
142,142,4
143,143,4
144,144,4
145,145,4
146,146,4
147,147,4
148,148,4
149,149,4
150,150,4
151,151,4
152,152,4
153,153,4
154,154,4
155,155,4
156,156,4
157,157,4
158,158,4
159,159,4
160,160,4
161,161,4
162,162,4
163,163,4
164,164,4
165,165,4
166,166,4
167,167,4
168,168,4
169,169,4
170,170,4
171,171,4
172,172,4
173,173,4
174,174,4
175,175,4
176,176,4
177,177,4
178,178,4
179,179,4
180,180,4
181,181,4
182,182,4
183,183,4
184,184,4
185,185,4
186,186,4
187,187,4
188,188,4
189,189,4
